heuristic, dimensions, error, runtime, iterations
euclidean, 2, 0.0, 0.000396, 2
hamming, 2, 0.0, 0.000598, 3
minkowski-0.5n, 2, 0.0, 0.000738, 2
minkowski-n, 2, 0.0, 0.000418, 2
null, 2, 0.0, 0.000802, 7
seuclidean, 2, nan, 0.001386, 5
sqeuclidean, 2, 0.0, 0.000387, 2
canberra, 2, 3.49999979221e-07, 0.001324, 8
chebyshev, 2, 1.49999989674e-06, 0.001256, 7
cityblock, 2, 1.49999989674e-06, 0.000953, 4
cosine, 2, 0.0, 0.001863, 11
euclidean, 2, 1.49999989674e-06, 0.000726, 4
hamming, 2, 4.99999970316e-07, 0.001602, 10
minkowski-0.5n, 2, 1.49999989674e-06, 0.000813, 4
minkowski-n, 2, 1.49999989674e-06, 0.00077, 4
null, 2, 0.0, 0.001422, 11
seuclidean, 2, nan, 0.002122, 10
sqeuclidean, 2, 2.49999982316e-06, 0.000714, 4
canberra, 2, 0.0, 0.000314, 2
chebyshev, 2, 0.0, 0.000265, 2
cityblock, 2, 0.0, 0.000251, 2
cosine, 2, 0.0, 0.000306, 2
euclidean, 2, 0.0, 0.000252, 2
hamming, 2, 0.0, 0.000262, 2
minkowski-0.5n, 2, 0.0, 0.00027, 2
minkowski-n, 2, 0.0, 0.000259, 2
null, 2, 0.0, 0.000311, 3
seuclidean, 2, nan, 0.000411, 2
sqeuclidean, 2, 0.0, 0.000314, 2
canberra, 2, 9.99999954843e-07, 0.001321, 7
chebyshev, 2, 1.49999992516e-06, 0.001155, 6
cityblock, 2, 1.49999992516e-06, 0.000708, 4
cosine, 2, 1.09633191414e-07, 0.001981, 10
euclidean, 2, 1.49999992516e-06, 0.000695, 4
hamming, 2, 4.99999970316e-07, 0.001332, 8
minkowski-0.5n, 2, 1.49999992516e-06, 0.000747, 4
minkowski-n, 2, 1.49999992516e-06, 0.000708, 4
null, 2, 0.0, 0.00168, 11
seuclidean, 2, nan, 0.002449, 10
sqeuclidean, 2, 2.49999988e-06, 0.000678, 4
canberra, 2, 3.33333332492e-07, 0.000619, 3
chebyshev, 2, 4.99999970316e-07, 0.000594, 3
cityblock, 2, 9.99999969054e-07, 0.000567, 3
cosine, 2, 0.0, 0.001039, 5
euclidean, 2, 7.07106750042e-07, 0.000538, 3
hamming, 2, 4.99999970316e-07, 0.000576, 3
minkowski-0.5n, 2, 9.99999969054e-07, 0.000593, 3
minkowski-n, 2, 7.07106750042e-07, 0.000627, 3
null, 2, 0.0, 0.000597, 5
seuclidean, 2, nan, 0.001626, 8
sqeuclidean, 2, 9.99999969054e-07, 0.000558, 3
canberra, 2, 5.9999997859e-07, 0.001235, 7
chebyshev, 2, 4.99999970316e-07, 0.000722, 4
cityblock, 2, 9.99999969054e-07, 0.000775, 4
cosine, 2, 5.27863903699e-08, 0.00183, 11
euclidean, 2, 7.07106750042e-07, 0.000757, 4
hamming, 2, 4.99999970316e-07, 0.001476, 9
minkowski-0.5n, 2, 9.99999969054e-07, 0.000802, 4
minkowski-n, 2, 7.07106750042e-07, 0.000746, 4
null, 2, 0.0, 0.001401, 13
seuclidean, 2, nan, 0.001191, 5
sqeuclidean, 2, 9.99999969054e-07, 0.000751, 4
canberra, 2, 3.33333318281e-07, 0.000779, 4
chebyshev, 2, 4.99999970316e-07, 0.000571, 3
cityblock, 2, 9.07725322463e-07, 0.000566, 3
cosine, 2, 0.0, 0.001114, 6
euclidean, 2, 7.07106750042e-07, 0.000709, 4
hamming, 2, 4.99999970316e-07, 0.000728, 4
minkowski-0.5n, 2, 9.07725322463e-07, 0.000483, 3
minkowski-n, 2, 7.07106750042e-07, 0.000767, 4
