seuclidean, 5, 3.04631284109e-06, 1.318674, 130
sqeuclidean, 5, 0.00100199208258, 0.076157, 6
canberra, 5, 3.01566018379e-07, 0.181535, 14
chebyshev, 5, 6.53316585897e-06, 0.063962, 7
cityblock, 5, 0.000141485628575, 0.069301, 7
cosine, 5, nan, 3.008314, 97
euclidean, 5, 4.07391336381e-05, 0.076824, 7
minkowski-0.5n, 5, 4.07391336381e-05, 0.071696, 7
minkowski-n, 5, 2.75671075798e-05, 0.079143, 8
seuclidean, 5, 0.0, 0.714318, 64
sqeuclidean, 5, 0.000986987426458, 0.060872, 6
canberra, 5, 0.0, 0.108989, 14
chebyshev, 5, 1.8700419588e-05, 0.070875, 7
cityblock, 5, 0.000136783986562, 0.059562, 6
cosine, 5, nan, 4.890127, 112
euclidean, 5, 3.39996598626e-05, 0.064773, 6
minkowski-0.5n, 5, 3.39996598626e-05, 0.062883, 6
minkowski-n, 5, 3.08437477088e-05, 0.070768, 7
seuclidean, 5, 7.21720154218e-06, 1.489317, 132
sqeuclidean, 5, 0.000993737237678, 0.064001, 6
canberra, 5, 0.0, 0.099222, 12
chebyshev, 5, 1.71007447705e-05, 0.065704, 7
cityblock, 5, 0.000142075065597, 0.072725, 7
cosine, 5, nan, 2.10277, 67
euclidean, 5, 4.94777948603e-05, 0.074205, 7
minkowski-0.5n, 5, 4.94777948603e-05, 0.071516, 7
minkowski-n, 5, 2.09024786102e-05, 0.071037, 7
seuclidean, 5, 1.3820363705e-05, 0.912843, 83
sqeuclidean, 5, 0.000991250248433, 0.074731, 6
canberra, 5, 0.0, 0.140796, 12
chebyshev, 5, 1.37709260457e-05, 0.065484, 7
cityblock, 5, 0.000130177063667, 0.066777, 6
cosine, 5, nan, 3.802438, 95
euclidean, 5, 5.08517547217e-05, 0.066932, 7
minkowski-0.5n, 5, 5.08517547217e-05, 0.074746, 7
minkowski-n, 5, 2.61240789285e-05, 0.065907, 7
seuclidean, 5, 3.91731231275e-06, 1.361688, 121
sqeuclidean, 5, 0.000988568887379, 0.06572, 6
canberra, 5, 0.0, 0.132612, 16
chebyshev, 5, 2.18102994154e-05, 0.081389, 8
cityblock, 5, 0.000103139445386, 0.071049, 6
cosine, 5, nan, 2.682209, 67
euclidean, 5, 6.37988741801e-05, 0.065659, 7
minkowski-0.5n, 5, 6.37988741801e-05, 0.070667, 7
minkowski-n, 5, 2.2745830222e-05, 0.073307, 7
seuclidean, 5, 5.55700789562e-06, 1.334842, 119
sqeuclidean, 5, 0.00100022449612, 0.078237, 6
canberra, 5, 0.0, 0.288093, 13
chebyshev, 5, 2.61339011161e-05, 0.080887, 9
cityblock, 5, 0.000150133560254, 0.068349, 7
cosine, 5, nan, 0.963966, 46
euclidean, 5, 5.9814664823e-05, 0.068937, 7
minkowski-0.5n, 5, 5.9814664823e-05, 0.073913, 7
minkowski-n, 5, 2.52766061806e-05, 0.06787, 7
seuclidean, 5, 2.9909502075e-07, 0.645631, 61
sqeuclidean, 5, 0.00100111100072, 0.062422, 6
canberra, 5, 0.0, 0.100061, 11
chebyshev, 5, 7.3153525193e-06, 0.059721, 6
cityblock, 5, 0.000135299415177, 0.064958, 6
cosine, 5, nan, 3.176315, 81
euclidean, 5, 5.2243755988e-05, 0.066463, 7
minkowski-0.5n, 5, 5.2243755988e-05, 0.07463, 7
minkowski-n, 5, 2.82822338846e-05, 0.083631, 7
seuclidean, 5, 4.23200657451e-06, 1.004904, 89
sqeuclidean, 5, 0.00099191807459, 0.067806, 6
canberra, 5, 0.0, 0.102137, 11
chebyshev, 5, 1.54843450559e-05, 0.067785, 7
cityblock, 5, 9.83699950865e-05, 0.062459, 6
cosine, 5, nan, 12.615811, 192
euclidean, 5, 5.57064206959e-05, 0.09129, 7
minkowski-0.5n, 5, 5.57064206959e-05, 0.073063, 7
minkowski-n, 5, 3.25605726204e-05, 0.094223, 7
seuclidean, 5, 7.20657979514e-06, 1.45581, 101
sqeuclidean, 5, 0.00099520216979, 0.073637, 6
canberra, 5, 0.0, 0.098148, 11
chebyshev, 5, 1.94037566956e-05, 0.101717, 7
cityblock, 5, 0.000151104169774, 0.072735, 7
cosine, 5, nan, 2.184791, 82
euclidean, 5, 6.05991146756e-05, 0.076478, 7
minkowski-0.5n, 5, 6.05991146756e-05, 0.07368, 7
minkowski-n, 5, 3.11383517868e-05, 0.092124, 7
seuclidean, 5, 2.03400710461e-05, 1.474798, 128
sqeuclidean, 5, 0.000997575898793, 0.064742, 6
canberra, 6, 0.0, 0.310735, 11
chebyshev, 6, 1.5030732456e-05, 0.218129, 7
cityblock, 6, 0.000165228722167, 0.178451, 6
cosine, 6, nan, 12.560845, 55
euclidean, 6, 5.54666287087e-05, 0.181446, 6
minkowski-0.5n, 6, 4.0217217375e-05, 0.245883, 7
